pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum,pl_rade_original,pl_bmasse_original,pl_orbper_original,pl_eqt_original,pl_dens_original,st_teff_original,st_rad_original,st_mass_original,st_lum_original
Kepler-6 b,0.1484217557862011,-0.14377511188276318,-0.0054793143169226365,1.8862716263276909,-0.019616914683697022,0.1461572198677867,0.10551979141886005,0.04490422451670536,0.04637521682541156,13.31600225,189.74451,3.23469439654,1374.57,1.31,5613.0,1.31474,0.959,-0.08288
Kepler-6 b,0.14485110482523184,-0.12102970497925869,-0.005479314314453936,-0.1272953851350745,-0.06730255422624648,0.18195518651881473,0.07398167185510973,0.5653450265531402,0.04637521682541156,13.103321,205.63601,3.2346994,797.0,0.49,5647.0,1.261,1.114,-0.08288
Kepler-6 b,0.1702560833736608,-0.11147663407978681,-0.005479314314355256,2.1841039752884472,-0.07253634393213605,0.18195518651881473,0.15027410846261877,0.8843248729625677,0.04637521682541156,14.616536,212.31044,3.2346996,1460.0,0.4,5647.0,1.391,1.209,-0.08288
Kepler-6 b,0.11071420003174903,-0.14377511188276318,-0.0054793143143799265,1.486849266261744,-0.019616914683697022,0.37042095212275633,-0.0310671447044602,0.6459294088039423,0.04637521682541156,11.07,189.74451,3.23469955,1260.0,1.31,5826.0,1.082,1.138,-0.08288
Kepler-6 b,0.1499998599038252,-0.14377511188276318,-0.005479314314497354,1.8180452530494282,-0.019616914683697022,0.17458501691419132,0.09158761876453489,0.34038029276964865,0.04637521682541156,13.41,189.74451,3.234699312,1355.0,1.31,5640.0,1.291,1.047,-0.08288
Kepler-6 b,0.1499998599038252,-0.14377511188276318,-0.005479314314497354,1.8180452530494282,-0.019616914683697022,0.17458501691419132,0.09158761876453489,0.34038029276964865,0.04637521682541156,13.41,189.74451,3.234699312,1355.0,1.31,5640.0,1.291,1.047,-0.08288
Kepler-6 b,0.14481213815148694,-0.14377511188276318,-0.005479314314497354,-0.1272953851350745,-0.019616914683697022,0.19564264435597248,0.07398167185510973,0.4847606443023374,0.04637521682541156,13.101,189.74451,3.234699312,797.0,1.31,5660.0,1.261,1.09,-0.08288
Kepler-6 b,-0.036523080770861235,-0.14377511188276318,-0.005479314314512157,-0.1272953851350745,-0.019616914683697022,0.1461572198677867,0.10551979141886005,0.14899238492399233,0.8052628359193428,2.3,189.74451,3.234699282,797.0,1.31,5613.0,1.31474,0.99,0.18916
Kepler-6 b,0.14147117818800695,-0.14377511188276318,-0.005475809289537501,-0.1272953851350745,-0.019616914683697022,0.19564264435597248,0.08219778041284147,0.04490422451670536,0.04637521682541156,12.902,189.74451,10.338536805,797.0,1.31,5660.0,1.275,0.959,-0.08288
Kepler-6 b,-0.036523080770861235,-0.14377511188276318,-0.0054793143146512945,-0.1272953851350745,-0.019616914683697022,0.18195518651881473,0.15027410846261877,0.8843248729625677,1.1116744521569453,2.3,189.74451,3.234699,797.0,1.31,5647.0,1.391,1.209,0.299
Kepler-6 b,-0.036523080770861235,-0.14377511188276318,-0.005479314314456254,-0.1272953851350745,-0.019616914683697022,0.1461572198677867,0.10551979141886005,0.14899238492399233,0.8052628359193428,2.3,189.74451,3.2346993953,797.0,1.31,5613.0,1.31474,0.99,0.18916
Kepler-6 b,0.1499998599038252,-0.14377511188276318,-0.005479314314497354,1.8180452530494282,-0.019616914683697022,0.17458501691419132,0.09158761876453489,0.34038029276964865,0.04637521682541156,13.41,189.74451,3.234699312,1355.0,1.31,5640.0,1.291,1.047,-0.08288
Kepler-6 b,0.14485110482523184,-0.12739841891223996,-0.005479314313171099,2.1527275133822457,-0.06718624778833783,0.18195518651881473,0.07398167185510973,0.5653450265531402,0.04637521682541156,13.103321,201.18639,3.234702,1451.0,0.492,5647.0,1.261,1.114,-0.08288
Kepler-6 b,0.1738398757236321,-0.11103499403610652,-0.005479314302809724,2.323554917093788,-0.07532769844194383,0.18195518651881473,0.15027410846261877,0.8843248729625677,1.1116744521569453,14.83,212.619,3.234723,1500.0,0.352,5647.0,1.391,1.209,0.299
Kepler-6 b,-0.036523080770861235,-0.14377511188276318,-0.005479314314562483,-0.1272953851350745,-0.019616914683697022,0.1461572198677867,0.10551979141886005,0.14899238492399233,0.8052628359193428,2.3,189.74451,3.23469918,797.0,1.31,5613.0,1.31474,0.99,0.18916
Kepler-6 b,0.14412379966654887,-0.14377511188276318,-0.005479314314512157,1.8215315265945617,-0.019616914683697022,0.17458501691419132,0.09158761876453489,0.34038029276964865,0.04637521682541156,13.06,189.74451,3.234699282,1356.0,1.31,5640.0,1.291,1.047,-0.08288
Kepler-6 b,-0.036523080770861235,-0.14377511188276318,-0.005479314314503276,-0.1272953851350745,-0.019616914683697022,0.18195518651881473,0.15027410846261877,0.8843248729625677,1.1116744521569453,2.3,189.74451,3.2346993,797.0,1.31,5647.0,1.391,1.209,0.299
Kepler-6 b,0.14949619759777294,-0.14377511188276318,-0.005479314314497354,-0.1272953851350745,-0.019616914683697022,0.22722908551864426,0.09100075386755412,0.3504533405509994,0.04637521682541156,13.38,189.74451,3.234699312,797.0,1.31,5690.0,1.29,1.05,-0.08288
