planet_radius,planet_mass,orbital_period,semi_major_axis,equilibrium_temp,planet_density,star_temp,star_luminosity,star_metallicity,star_type,stellar_compatibility,orbital_stability,star_class_B,star_class_D,star_class_F,star_class_G,star_class_K,star_class_L,star_class_M,star_class_T,star_class_W,star_class_m,habitable,habitability_score
2.3,192.60498,30.33,0.194,797.0,1.31,4816.0,1.87691,-0.78,G3 IV,0.5493398421599169,0.0029791163940775,0,0,0,1,0,0,0,0,0,0,0,0.00017025688
2.3,192.60498,452.8,1.333,797.0,1.31,5098.0,1.164,-0.03,G0 V,0.8637873312564901,0.0112612612612612,0,0,0,1,0,0,0,0,0,0,0,0.00018835657
2.3,192.60498,883.0,2.08,797.0,1.31,5098.0,1.164,-0.03,G0 V,0.8637873312564901,0.001926782273603,0,0,0,1,0,0,0,0,0,0,0,1.5742216e-05
2.3,192.60498,10.3392924,118.0,797.0,1.31,3100.0,-1.16368,0.01,M V,0.3219106957424714,0.0028116684768132,0,0,0,0,0,0,1,0,0,0,0,4.978461e-05
2.3,192.60498,10.3392924,84.0,797.0,1.31,5612.5,-0.082525,-0.002,M5.5/M6,0.5828141225337488,0.0028116684768132,0,0,0,0,0,0,1,0,0,0,0,2.5282425e-05
3.941407550000001,192.60498,10.3392924,0.1008,797.0,1.31,3309.0,-1.83849,-0.002,G0 V,0.3436137071651091,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,2.2344731e-05
2.3,192.60498,10.3392924,52.0,797.0,1.31,3530.0,-1.72,-0.002,M3.5 V,0.3665628245067497,0.0028116684768132,0,0,0,0,0,0,1,0,0,0,0,5.133509e-05
3.941407550000001,192.60498,10.3392924,156.0,797.0,1.31,3064.0,-2.23,-0.002,M6,0.318172377985462,0.0028116684768132,0,0,0,0,0,0,1,0,0,0,0,4.8097965e-05
2.3,192.60498,10.3392924,1950.0,797.0,1.31,5612.5,-2.59,-0.002,M6 V,0.5828141225337488,0.0028116684768132,0,0,0,0,0,0,1,0,0,0,0,2.771153e-05
2.3,192.60498,10.3392924,572.0,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,2.6392503e-05
2.3,192.60498,10.3392924,15.0,797.0,1.31,5612.5,-0.082525,-0.002,M8.5,0.5828141225337488,0.0028116684768132,0,0,0,0,0,0,1,0,0,0,0,2.5282425e-05
2.3,192.60498,10.3392924,266.0,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,2.6392503e-05
2.3,192.60498,10.3392924,587.0,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,2.6392503e-05
2.3,192.60498,10.3392924,46.0,797.0,1.31,2825.0,-2.56086,-0.002,G0 V,0.2933541017653167,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,4.67421e-05
2.3,192.60498,10.3392924,55.0,797.0,1.31,5612.5,-0.082525,-0.002,M8,0.5828141225337488,0.0028116684768132,0,0,0,0,0,0,1,0,0,0,0,2.5282425e-05
2.3,192.60498,406.0,0.1008,797.0,1.31,29564.0,-0.082525,-0.002,G0 V,0.0,0.0238095238095238,0,0,0,1,0,0,0,0,0,0,0,0.0001132454
2.3,192.60498,416.0,0.92,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0192307692307692,0,0,0,1,0,0,0,0,0,0,0,0.00012133241
2.3,192.60498,10.3392924,7493.0,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0028116684768132,0,0,0,1,0,0,0,0,0,0,0,2.6392503e-05
