pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,star_F,star_G,star_K,target
2.37,61.03944540249999,1.178,288.0,1.3275000000000001,4874.0,-0.08333499999999999,-0.20500000000000004,0.48972401265882043,0.46209023766822765,0.4260877736222688,False,False,True,0
2.37,61.03944540249999,1.29,288.0,1.3275000000000001,4742.0,-0.08333499999999999,-0.20500000000000004,0.4712983536124799,0.462019911557528,0.3892364555295877,False,False,True,0
2.37,61.03944540249999,1.54,288.0,1.3275000000000001,4340.0,-0.08333499999999999,0.04,0.4398375663377391,0.46188521499671314,0.3263148809801062,False,False,True,0
2.37,61.03944540249999,1.53,288.0,1.3275000000000001,4213.0,-0.08333499999999999,-0.02,0.4408985968105343,0.46185703628242575,0.32843694192569656,False,False,True,0
2.37,61.03944540249999,0.775,288.0,1.3275000000000001,4888.0,-0.08333499999999999,-0.20500000000000004,0.481581536653138,0.46209891870821623,0.4098028216109039,False,False,True,0
2.37,61.03944540249999,0.83,288.0,1.3275000000000001,4813.0,-0.08333499999999999,-0.20500000000000004,0.4911751176752905,0.46205534982406765,0.4289899836552089,False,False,True,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.3831076767321499,0.4642069806070106,0.2128551017689277,False,True,False,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.23500000000000004,0.3831076767321499,0.4642069806070106,0.2128551017689277,False,True,False,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,5255.0,-0.08333499999999999,0.23500000000000004,0.3831076767321499,0.46249194995366477,0.2128551017689277,False,True,False,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,5280.0,-0.08333499999999999,0.23500000000000004,0.3831076767321499,0.4625397554883984,0.2128551017689277,False,True,False,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,5338.0,-0.08333499999999999,0.23500000000000004,0.3831076767321499,0.4626715383284549,0.2128551017689277,False,True,False,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.3831076767321499,0.4642069806070106,0.2128551017689277,False,True,False,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,5314.94,-0.08333499999999999,0.23500000000000004,0.3831076767321499,0.46261519836225107,0.2128551017689277,False,True,False,0
2.37,61.03944540249999,1.66,288.0,1.3275000000000001,5750.0,-0.08333499999999999,0.06,0.428102313638631,0.47877913079072715,0.30284437558189,False,True,False,0
2.37,61.03944540249999,1.681,288.0,1.3275000000000001,5674.0,-0.08333499999999999,0.038,0.42622090340519275,0.4662996562422871,0.2990815551150135,False,True,False,0
2.37,61.03944540249999,1.68,288.0,1.3275000000000001,5747.0,-0.08333499999999999,0.06,0.4263094278096006,0.47716275148038234,0.29925860392382914,False,True,False,0
2.37,61.03944540249999,1.6,288.0,1.3275000000000001,5760.0,-0.08333499999999999,0.05,0.4337499040000768,0.4878535409540665,0.3141395563047815,False,True,False,0
2.37,61.03944540249999,1.676,288.0,1.3275000000000001,5711.97,-0.08333499999999999,0.0739,0.4266645818043728,0.4689970980416236,0.29996891191337344,False,True,False,0
2.37,61.03944540249999,1.68,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.4263094278096006,0.4642069806070106,0.29925860392382914,False,True,False,0
2.37,61.03944540249999,1.45,288.0,1.3275000000000001,4157.0,-0.08333499999999999,-0.01,0.4499136971035251,0.46184601288605437,0.3464671425116781,False,False,True,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,4980.0,-0.08333499999999999,-0.06,0.3831076767321499,0.4621635337081671,0.2128551017689277,False,False,True,0
2.37,61.03944540249999,2.36725,288.0,1.3275000000000001,4979.0,-0.08333499999999999,-0.052,0.3831076767321499,0.46216275148038233,0.2128551017689277,False,False,True,0
2.37,10.39990194,2.36725,1315.5,1.3275000000000001,3993.0,-0.08333499999999999,0.0168,0.0,0.4618177066875492,0.21262161931712817,False,False,True,0
2.37,10.39990194,2.36725,1315.5,1.3275000000000001,4060.0,-0.08333499999999999,0.0168,0.0,0.4618286182633957,0.21262161931712817,False,False,True,0
3.7700000000000005,10.39990194,2.36725,1315.5,1.3275000000000001,4060.0,-0.08333499999999999,0.0168,0.0,0.4618286182633957,0.21262161931712817,False,False,True,0
2.37,10.39990194,2.36725,1315.5,1.3275000000000001,4060.0,-0.08333499999999999,0.0168,0.0,0.4618286182633957,0.21262161931712817,False,False,True,0
2.37,30.3506,0.19,288.0,1.3275000000000001,4893.0,-0.08333499999999999,-0.20500000000000004,0.41562145096140274,0.4621020855661611,0.27773274353918637,False,False,True,0
2.37,30.33,0.194,288.0,1.3275000000000001,4816.0,-0.08333499999999999,-0.20500000000000004,0.41592736800893615,0.46205696227996695,0.2783444862147575,False,False,True,0
2.37,61.03944540249999,1.333,288.0,1.3275000000000001,5098.0,-0.08333499999999999,-0.03,0.4650467907217572,0.4622719658709844,0.3767333297481424,False,False,True,0
2.37,61.03944540249999,2.08,288.0,1.3275000000000001,5098.0,-0.08333499999999999,-0.03,0.3976922116923845,0.4622719658709844,0.24202417168939688,False,False,True,0
2.37,10.39990194,2.36725,1315.5,1.3275000000000001,3872.5,-0.08333499999999999,0.01,0.0,0.4618000121675053,0.21262161931712817,False,False,True,0
3.7700000000000005,10.39990194,1.0,1315.5,1.3275000000000001,3872.5,-0.08333499999999999,0.0168,0.0,0.4618000121675053,0.501406073852982,False,False,True,0
2.37,10.39990194,2.36725,288.0,1.3275000000000001,3872.5,-0.08333499999999999,0.0168,0.3831076767321499,0.4618000121675053,0.21262161931712817,False,False,True,0
3.7700000000000005,10.39990194,2.36725,288.0,1.3275000000000001,3872.5,-0.08333499999999999,0.0168,0.033107676732149774,0.4618000121675053,0.21262161931712817,False,False,True,0
2.37,10.39990194,2.36725,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.3831076767321499,0.4642069806070106,0.21262161931712817,False,True,False,0
2.37,10.39990194,2.36725,1315.5,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.0,0.4642069806070106,0.21262161931712817,False,True,False,0
2.37,10.39990194,2.36725,1315.5,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.0,0.4642069806070106,0.21262161931712817,False,True,False,0
2.37,10.39990194,2.36725,1315.5,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.0,0.4642069806070106,0.21262161931712817,False,True,False,0
2.37,10.39990194,2.36725,1250.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.0,0.4642069806070106,0.21262161931712817,False,True,False,0
2.37,10.39990194,2.36725,1150.0,1.3275000000000001,3872.5,-0.08333499999999999,0.0168,0.0,0.4618000121675053,0.21262161931712817,False,False,True,0
2.37,61.03944540249999,0.92,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.5089813854815582,0.4642069806070106,0.46460251926774443,False,True,False,0
2.37,61.03944540249999,1.0,288.0,1.3275000000000001,7132.5,-0.08333499999999999,0.0168,0.5274999040000767,0.4619066190569224,0.5016395563047815,True,False,False,0
