planet_radius,planet_mass,orbital_period,semi_major_axis,equilibrium_temp,planet_density,star_temp,star_luminosity,star_metallicity,star_type,habitability_score,stellar_compatibility,orbital_stability,star_class_B,star_class_D,star_class_F,star_class_G,star_class_K,star_class_L,star_class_M,star_class_T,star_class_W,star_class_m,habitable
2.3,192.60498,10.3392924,330.0,797.0,1.31,4060.0,-0.37,-0.002,K7 V,0.0009090909090909091,0.4215991692627207,0.0028116684768132085,0,0,0,0,1,0,0,0,0,0,0
3.9414075500000005,192.60498,10.3392924,330.0,797.0,1.31,4060.0,-0.082525,-0.002,K7 V,0.0009090909090909091,0.4215991692627207,0.0028116684768132085,0,0,0,0,1,0,0,0,0,0,0
2.3,192.60498,10.3392924,330.0,797.0,1.31,4060.0,-0.37,-0.002,G0 V,0.0009090909090909091,0.4215991692627207,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,10.3392924,330.0,797.0,1.31,3993.0,-0.40347,-0.002,G0 V,0.0009090909090909091,0.41464174454828656,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,30.3506,0.19,797.0,1.31,4893.0,1.77415,-0.77,G3 IV,0.16574585635359115,0.5984396884735204,0.002979299233068791,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,30.33,0.194,797.0,1.31,4816.0,1.87691,-0.78,G3 IV,0.16611295681063123,0.5493398421599169,0.0029791163940775167,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,452.8,1.333,797.0,1.31,5098.0,1.164,-0.03,G0 V,0.2250562640660165,0.8637873312564901,0.011261261261261259,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,883.0,2.08,797.0,1.31,5098.0,1.164,-0.03,G0 V,0.14423076923076922,0.8637873312564901,0.0019267822736030828,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,10.3392924,118.0,797.0,1.31,3100.0,-1.16368,0.01,M V,0.002542372881355932,0.3219106957424714,0.0028116684768132085,0,0,0,0,0,0,1,0,0,0,0
2.3,192.60498,10.3392924,84.0,797.0,1.31,5612.5,-0.082525,-0.002,M5.5/M6,0.003571428571428571,0.5828141225337488,0.0028116684768132085,0,0,0,0,0,0,1,0,0,0,0
3.9414075500000005,192.60498,10.3392924,0.1008,797.0,1.31,3309.0,-1.83849,-0.002,G0 V,0.15796124684077503,0.3436137071651091,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,10.3392924,52.0,797.0,1.31,3530.0,-1.72,-0.002,M3.5 V,0.0057692307692307696,0.36656282450674976,0.0028116684768132085,0,0,0,0,0,0,1,0,0,0,0
3.9414075500000005,192.60498,10.3392924,156.0,797.0,1.31,3064.0,-2.23,-0.002,M6,0.001923076923076923,0.31817237798546205,0.0028116684768132085,0,0,0,0,0,0,1,0,0,0,0
2.3,192.60498,10.3392924,1950.0,797.0,1.31,5612.5,-2.59,-0.002,M6 V,0.00015384615384615385,0.5828141225337488,0.0028116684768132085,0,0,0,0,0,0,1,0,0,0,0
2.3,192.60498,10.3392924,572.0,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.0005244755244755245,0.5828141225337488,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,10.3392924,15.0,797.0,1.31,5612.5,-0.082525,-0.002,M8.5,0.02,0.5828141225337488,0.0028116684768132085,0,0,0,0,0,0,1,0,0,0,0
2.3,192.60498,10.3392924,266.0,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.0011278195488721803,0.5828141225337488,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,10.3392924,587.0,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.0005110732538330494,0.5828141225337488,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,10.3392924,46.0,797.0,1.31,2825.0,-2.56086,-0.002,G0 V,0.006521739130434782,0.29335410176531673,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,10.3392924,55.0,797.0,1.31,5612.5,-0.082525,-0.002,M8,0.005454545454545454,0.5828141225337488,0.0028116684768132085,0,0,0,0,0,0,1,0,0,0,0
2.3,192.60498,406.0,0.1008,797.0,1.31,29564.0,-0.082525,-0.002,G0 V,0.15796124684077503,0.0,0.023809523809523808,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,416.0,0.92,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.27777777777777773,0.5828141225337488,0.019230769230769232,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,10.3392924,7493.0,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,4.003736821032964e-05,0.5828141225337488,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
